participant_id,generational_cohort,gender_group,expectations_profile,relational_support_level,role_clarity_level,integration_outcome,dominant_interpretative_dimension,data_origin
P001,Generation Z,Woman,Balanced-positive,High,High,Meaningful integration,Anticipatory expectations,synthetic_example
P002,Generation Z,Man,Cautious,Medium,High,Conditional integration,Role clarity and role orientation,synthetic_example
P003,Generation Z,Woman,Balanced-positive,High,Medium,Meaningful integration,Cultural and ethical alignment,synthetic_example
P004,Generation Z,Woman,Uncertain,Low,Medium,Strained integration,Misalignment and negative experience,synthetic_example
P005,Generation Z,Man,Balanced-positive,Medium,High,Meaningful integration,Digital and informational resources,synthetic_example
P006,Generation Z,Woman,Cautious,Medium,Medium,Conditional integration,Communication and sensemaking,synthetic_example
P007,Generation Z,Woman,Balanced-positive,High,High,Meaningful integration,Interpersonal socialization and integration,synthetic_example
P008,Generation Z,Man,Uncertain,Low,Low,Strained integration,Cognitive-emotional burden,synthetic_example
P009,Millennials,Woman,Balanced-positive,High,High,Meaningful integration,Perceived social support,synthetic_example
P010,Millennials,Man,Cautious,High,Medium,Conditional integration,Anticipatory expectations,synthetic_example
P011,Millennials,Woman,Balanced-positive,High,High,Meaningful integration,Interpersonal socialization and integration,synthetic_example
P012,Millennials,Woman,Uncertain,Medium,Low,Strained integration,Misalignment and negative experience,synthetic_example
P013,Millennials,Man,Balanced-positive,High,Medium,Meaningful integration,Communication and sensemaking,synthetic_example
P014,Millennials,Woman,Cautious,Medium,Medium,Conditional integration,Role clarity and role orientation,synthetic_example
P015,Millennials,Woman,Balanced-positive,High,High,Meaningful integration,Perceived social support,synthetic_example
P016,Millennials,Man,Uncertain,Low,Medium,Strained integration,Cognitive-emotional burden,synthetic_example
P017,Generation X,Woman,Balanced-positive,Medium,High,Meaningful integration,Functional adaptation and agency,synthetic_example
P018,Generation X,Man,Cautious,Medium,High,Conditional integration,Role clarity and role orientation,synthetic_example
P019,Generation X,Woman,Balanced-positive,Low,Medium,Conditional integration,Anticipatory expectations,synthetic_example
P020,Generation X,Man,Uncertain,Low,Low,Strained integration,Misalignment and negative experience,synthetic_example
P021,Generation X,Woman,Balanced-positive,Medium,High,Meaningful integration,Emotional response and integrative outcome,synthetic_example
P022,Generation X,Man,Cautious,Low,Medium,Conditional integration,Functional adaptation and agency,synthetic_example
P023,Generation X,Woman,Balanced-positive,Medium,Medium,Meaningful integration,Interpersonal socialization and integration,synthetic_example
P024,Generation X,Man,Uncertain,Low,Low,Strained integration,Cognitive-emotional burden,synthetic_example
